name,party,state,00001,00004,00005,00006,00007,00008,00009,00010,00020,00026,00032,00038,00039,00044,00047
Alexander,R,TN,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0
Ayotte,R,NH,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
Baldwin,D,WI,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Barrasso,R,WY,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Bennet,D,CO,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
Blumenthal,D,CT,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Blunt,R,MO,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Booker,D,NJ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Boozman,R,AR,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Boxer,D,CA,0.5,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Brown,D,OH,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Burr,R,NC,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0
Cantwell,D,WA,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Capito,R,WV,0.5,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Cardin,D,MD,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Carper,D,DE,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1
Casey,D,PA,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1
Cassidy,R,LA,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Coats,R,IN,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Cochran,R,MS,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Collins,R,ME,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
Coons,D,DE,1,0,0,1,0,1,0,1,0,0.5,1,1,0,1,1
Corker,R,TN,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Cornyn,R,TX,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Cotton,R,AR,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Crapo,R,ID,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Cruz,R,TX,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0
Daines,R,MT,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Donnelly,D,IN,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
Durbin,D,IL,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Enzi,R,WY,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Ernst,R,IA,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Feinstein,D,CA,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Fischer,R,NE,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Flake,R,AZ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Franken,D,MN,1,0,0,1,0,1,0,1,0,0.5,1,1,0,1,1
Gardner,R,CO,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0
Gillibrand,D,NY,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Graham,R,SC,0,1,1,1,1,0,1,1,0.5,0.5,0,0,1,0,0
Grassley,R,IA,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Hatch,R,UT,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Heinrich,D,NM,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Heitkamp,D,ND,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0
Heller,R,NV,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0
Hirono,D,HI,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Hoeven,R,ND,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Inhofe,R,OK,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Isakson,R,GA,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Johnson,R,WI,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Kaine,D,VA,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0
King,I,ME,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Kirk,R,IL,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Klobuchar,D,MN,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
Lankford,R,OK,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0
Leahy,D,VT,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Lee,R,UT,0,1,1,0,1,0,1,1,0.5,0.5,0,0,1,0,0
Manchin,D,WV,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0
Markey,D,MA,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
McCain,R,AZ,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
McCaskill,D,MO,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
McConnell,R,KY,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Menendez,D,NJ,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Merkley,D,OR,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Mikulski,D,MD,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Moran,R,KS,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Murkowski,R,AK,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Murphy,D,CT,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Murray,D,WA,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Nelson,D,FL,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
Paul,R,KY,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0
Perdue,R,GA,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Peters,D,MI,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Portman,R,OH,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Reed,D,RI,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Reid,D,NV,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Risch,R,ID,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Roberts,R,KS,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Rounds,R,SD,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Rubio,R,FL,0,1,1,1,1,0,1,1,1,1,0.5,0.5,0.5,0.5,0.5
Sanders,I,VT,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Sasse,R,NE,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0
Schatz,D,HI,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Schumer,D,NY,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Scott,R,SC,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Sessions,R,AL,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Shaheen,D,NH,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Shelby,R,AL,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Stabenow,D,MI,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Sullivan,R,AK,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Tester,D,MT,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Thune,R,SD,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Tillis,R,NC,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Toomey,R,PA,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Udall,D,NM,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Vitter,R,LA,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Warner,D,VA,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
Warren,D,MA,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Whitehouse,D,RI,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1
Wicker,R,MS,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0
Wyden,D,OR,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1